,Timestamp,CPU %,Memory %
18637863,51420,32.0,90
18637864,51780,40.0,92
18637865,51920,33.0,90
18637866,52120,29.0,89
18637867,52230,28.0,90
18637868,52340,50.0,92
18637869,52360,52.0,93
18637870,52480,53.0,94
18637871,52580,59.0,93
18637872,52600,52.0,92
18637873,52740,56.0,93
18637874,52790,46.0,90
18637875,52890,48.0,90
18637876,53090,45.0,90
18637877,53110,53.0,91
18637878,53250,44.0,90
18637879,53300,47.0,91
18637880,53370,49.0,92
18637881,53480,48.0,92
18637882,53560,31.0,91
18637883,53570,31.0,91
18637884,53610,24.0,90
18637885,53650,29.0,91
18637886,53680,29.0,91
18637887,53690,33.0,91
18637888,53780,27.0,91
18637889,53890,32.0,92
18637890,53900,30.0,92
18637891,53940,30.0,92
18637892,54250,43.0,93
18637893,54430,36.0,95
18637894,54590,33.0,94
18637895,54940,34.0,95
18637896,55050,26.0,95
18637897,55140,34.0,94
18637898,55290,37.0,97
18637899,55340,35.0,93
18637900,55450,40.0,89
18637901,55490,34.0,89
18637902,55540,38.0,90
18637903,55550,38.0,90
18637904,55630,35.0,89
18637905,55850,40.0,92
18637906,55890,38.0,92
18637907,55900,35.0,92
18637908,56110,43.0,93
18637909,56120,35.0,92
18637910,56170,36.0,91
18637911,56210,34.0,91
18637912,56400,58.0,94
18637913,56540,40.0,92
18637914,56550,41.0,92
18637915,56580,36.0,92
18637916,56710,35.0,90
18637917,56810,37.0,91
18637918,56880,31.0,90
18637919,56980,36.0,93
18637920,57020,39.0,94
18637921,57050,37.0,94
18637922,57120,52.0,95
18637923,57370,35.0,93
18637924,57580,29.0,90
18637925,57720,31.0,91
18637926,57790,33.0,91
18637927,57810,31.0,91
18637928,58040,33.0,94
18637929,58090,34.0,94
18637930,58170,42.0,97
18637931,58190,42.0,97
18637932,58250,35.0,97
18637933,58270,42.0,97
18637934,58470,45.0,92
18637935,58490,57.0,91
18637936,58530,47.0,90
18637937,58540,43.0,90
18637938,58590,46.0,90
18637939,58620,44.0,91
18637940,58760,38.0,91
18637941,58840,37.0,90
18637942,58890,28.0,90
18637943,58970,33.0,91
18637944,58980,34.0,91
18637945,59180,48.0,91
18637946,59240,37.0,91
18637947,59260,39.0,91
18637948,59370,36.0,91
18637949,59610,45.0,94
18637950,59760,51.0,90
18637951,59940,47.0,89
18637952,60030,46.0,89
18637953,60070,45.0,89
18637954,60080,46.0,89
18637955,60310,45.0,89
18637956,60350,45.0,89
18637957,60450,42.0,88
18637958,60490,43.0,88
18637959,60540,43.0,89
18637960,60560,46.0,90
18637961,60660,34.0,90
18637962,60690,29.0,90
18637963,60730,31.0,89
18637964,60750,31.0,89
18637965,60770,30.0,90
18637966,60890,38.0,91
18637967,60940,29.0,89
18637968,61060,40.0,90
18637969,61080,42.0,90
18637970,61120,47.0,91
18637971,61260,41.0,92
18637972,61310,39.0,92
18637973,61430,34.0,92
18637974,61450,39.0,93
18637975,61560,36.0,93
18637976,61740,55.0,93
18637977,61820,48.0,91
18637978,61830,47.0,91
18637979,61910,53.0,93
18637980,62710,41.0,94
18637981,62990,30.0,92
18637982,63010,33.0,92
18637983,63020,28.0,93
18637984,63140,37.0,91
18637985,63240,38.0,91
18637986,63570,36.0,95
18637987,63740,49.0,95
18637988,63770,45.0,94
18637989,63840,46.0,94
18637990,63860,61.0,94
18637991,63870,53.0,94
18637992,63930,74.0,95
18637993,63960,63.0,95
18637994,64310,50.0,94
18637995,64350,40.0,94
18637996,64400,53.0,96
18637997,73800,38.0,94
18637998,73810,44.0,94
18637999,74000,31.0,94
18638000,74080,32.0,95
18638001,74140,33.0,93
18638002,74250,34.0,93
18638003,74260,34.0,94
18638004,74320,42.0,95
18638005,74330,42.0,95
18638006,74510,34.0,95
18638007,74600,29.0,94
18638008,74610,35.0,94
18638009,74650,40.0,95
18638010,74670,45.0,95
18638011,74710,32.0,94
18638012,74800,27.0,94
18638013,74840,29.0,94
18638014,74990,29.0,94
18638015,75000,27.0,94
18638016,75010,30.0,94
18638017,75030,31.0,95
18638018,75040,37.0,94
18638019,75130,38.0,94
18638020,75210,43.0,94
18638021,75230,59.0,95
18638022,75260,40.0,95
18638023,75370,34.0,93
18638024,75400,38.0,94
18638025,75410,43.0,95
18638026,75430,47.0,95
18638027,75450,34.0,95
18638028,75660,42.0,93
18638029,75990,41.0,93
18638030,76000,38.0,93
18638031,76030,38.0,92
18638032,76570,35.0,94
18638033,76750,31.0,93
18638034,76800,33.0,94
18638035,76860,38.0,94
18638036,77010,34.0,91
18638037,77060,39.0,92
18638038,77080,30.0,91
18638039,77110,44.0,92
18638040,77240,30.0,93
18638041,77260,31.0,93
18638042,77300,31.0,93
18638043,77310,29.0,92
18638044,77360,27.0,92
18638045,77500,28.0,92
18638046,77540,25.0,90
18638047,77560,26.0,91
18638048,77690,22.0,90
18638049,77780,22.0,90
18638050,77820,24.0,90
18638051,77870,18.0,90
18638052,77950,19.0,89
18638053,78100,18.0,90
18638054,78180,17.0,89
18638055,78450,16.0,89
18638056,78470,18.0,89
18638057,78560,26.0,91
18638058,78620,23.0,92
18638059,78640,31.0,92
18638060,78650,30.0,92
18638061,78960,20.0,89
18638062,78970,22.0,89
18638063,79000,19.0,87
18638064,79060,16.0,87
18638065,79200,16.0,88
18638066,79340,30.0,89
18638067,79390,43.0,89
18638068,79450,57.0,89
18638069,79610,49.0,90
18638070,79700,47.0,89
18638071,79720,46.0,89
18638072,79750,26.0,89
18638073,79970,18.0,89
18638074,80000,18.0,89
18638075,80070,19.0,89
18638076,80080,17.0,89
18638077,80150,35.0,90
18638078,80180,32.0,90
18638079,80470,25.0,89
18638080,80610,17.0,88
18638081,80690,16.0,89
18638082,80740,17.0,89
18638083,80770,18.0,89
18638084,80800,16.0,88
18638085,80910,16.0,89
18638086,80920,15.0,89
18638087,80940,16.0,90
18638088,81030,18.0,89
18638089,81050,21.0,89
18638090,81100,18.0,90
18638091,81130,16.0,89
18638092,81320,17.0,89
18638093,81330,14.0,89
18638094,81410,18.0,89
18638095,81500,26.0,89
18638096,81600,23.0,90
18638097,81630,26.0,90
18638098,81710,25.0,91
18638099,81890,21.0,90
18638100,81960,18.0,89
18638101,82100,19.0,89
18638102,82110,18.0,89
18638103,82220,19.0,89
18638104,82290,20.0,89
18638105,82330,20.0,89
18638106,82420,22.0,89
18638107,82610,26.0,93
18638108,82840,26.0,92
18638109,82900,27.0,91
18638110,83020,27.0,92
18638111,83100,25.0,92
18638112,83120,30.0,92
18638113,83180,26.0,92
18638114,83230,24.0,91
18638115,83280,21.0,91
18638116,83360,21.0,92
18638117,83470,23.0,92
18638118,83720,39.0,94
18638119,84070,28.0,95
18638120,84330,57.0,96
18638121,84550,56.0,94
18638122,84570,55.0,94
18638123,84730,34.0,74
18638124,84810,23.0,73
18638125,84930,29.0,74
18638126,84990,23.0,74
18638127,85370,21.0,74
18638128,85630,37.0,77
18638129,85700,34.0,78
18638130,85750,30.0,77
18638131,85900,26.0,76
18638132,85910,25.0,76
18638133,85950,26.0,76
18638134,86130,29.0,78
18638135,86190,27.0,78
18638136,86400,28.0,79
18638137,86490,24.0,78
18638138,86530,28.0,78
18638139,86650,26.0,78
18638140,86760,38.0,81
18638141,86900,54.0,83
18638142,86920,50.0,83
18638143,86940,46.0,82
18638144,87000,39.0,81
18638145,87130,36.0,80
18638146,87170,34.0,80
18638147,87190,37.0,80
18638148,87240,36.0,81
18638149,87260,46.0,82
18638150,87310,47.0,82
18638151,87440,43.0,80
18638152,87450,55.0,83
18638153,87530,66.0,91
18638154,87560,66.0,93
18638155,87600,56.0,97
18638156,87910,41.0,82
18638157,87930,33.0,81
18638158,87950,33.0,83
18638159,88020,47.0,86
18638160,88060,36.0,87
18638161,88150,31.0,83
18638162,88190,36.0,83
18638163,88260,49.0,84
18638164,88320,43.0,80
18638165,88360,30.0,79
18638166,88390,32.0,79
18638167,88610,29.0,78
18638168,88630,29.0,79
18638169,88770,29.0,82
18638170,88790,29.0,82
18638171,88860,34.0,82
18638172,88870,30.0,80
18638173,88880,39.0,81
18638174,88970,24.0,81
18638175,89070,52.0,79
18638176,89360,32.0,80
18638177,89490,59.0,85
18638178,89770,51.0,85
18638179,89860,25.0,80
18638180,89940,33.0,81
18638181,89960,29.0,82
18638182,90220,41.0,89
18638183,90350,40.0,85
18638184,90400,30.0,82
18638185,90440,30.0,82
18638186,90490,32.0,82
18638187,90630,28.0,80
18638188,90700,21.0,79
18638189,90750,27.0,80
18638190,90760,31.0,80
18638191,90900,40.0,83
18638192,90910,43.0,83
18638193,90950,37.0,83
18638194,91150,41.0,86
18638195,91190,39.0,85
18638196,91200,41.0,85
18638197,91250,36.0,86
18638198,91410,34.0,83
18638199,91430,33.0,83
18638200,92240,40.0,86
18638201,92310,55.0,88
18638202,92390,47.0,87
18638203,92540,41.0,89
18638204,92620,35.0,85
18638205,92640,32.0,85
18638206,93060,35.0,87
18638207,93120,36.0,86
18638208,93140,32.0,86
18638209,93170,31.0,86
18638210,93310,38.0,86
18638211,93320,33.0,86
18638212,93370,37.0,87
18638213,93380,35.0,86
18638214,93600,30.0,83
18638215,93790,32.0,84
18638216,93990,31.0,85
18638217,94010,33.0,85
18638218,94060,40.0,85
18638219,94430,40.0,85
18638220,94440,39.0,85
18638221,94550,37.0,85
18638222,94640,35.0,86
18638223,94800,43.0,85
18638224,94890,44.0,87
18638225,94930,58.0,86
18638226,95650,41.0,88
18638227,95690,42.0,89
18638228,95800,40.0,91
18638229,95830,43.0,92
18638230,95990,32.0,88
18638231,96000,34.0,89
18638232,96020,33.0,89
18638233,96180,36.0,91
18638234,96280,45.0,90
18638235,96420,36.0,87
18638236,96490,42.0,87
18638237,96750,33.0,87
18638238,96810,31.0,86
18638239,96850,38.0,86
18638240,96910,39.0,86
18638241,96950,34.0,86
18638242,96980,34.0,86
18638243,97000,34.0,86
18638244,97040,38.0,87
18638245,97050,36.0,87
18638246,97060,37.0,88
